3zzf NLG
3gww SFX
1w8l 1P3
3fqa GAB&PMP
1zsb AZM
6h9v MFU
4obv 2SU
1wkm MET
3k41 M6D
4eu3 CIT
2w97 GOL
1p0y MLZ
2b1r CBI
2d2v MAL
1aw1 PGA
1maw ATP
3fl9 TOP
5eb2 TRP
4lh2 SIN
4to8 FLC
4fci GPA
4fck GPA
4clp CMP
1f9g ASC
1a0t SUC
1b74 DGN
2fah MLA
5oxm 2-mer
2igw 2-mer
5mnc ANL
5mny WOT
5moo WOT
2vl1 2-mer
3nm6 TRS
1qpb PYM
6k2n 3-mer
1hty TRS
1o4l CIT
1o4m MLA
1o4n OXD
2hdq C21
3eor CFV
3e81 SLB
1ozv LYS
1utp PBN
5eb3 UEG
1tnk PRA
4bh4 3-mer
5vqe G2F
4lh3 GUA
5ct1 NHE
5ele 5-mer
3mwe TLA
4amw 5DI
1iig 3PP
3rup ADP
5cs5 PIN
5ofv 9TZ
2b1q TRE
1w8m E1P
3itc CIT
2it4 PPF
5k5c TRE
1a7t MES
4d63 SIA
1hgj AMN
1rdj MFB
2o9r TCB
4qsw 38T
2sfp PPI
3gf2 SAL
3oay BDF
4tyb 3B1
6cex NHE
6cf5 NHE
3g6m CFF
2hdr 4A3
3ern CAR
3vzg 2-mer
3zst ACX
5y61 5GP
1u2y GOX
4qsx 38S
5y62 5GP
5ggj PNA
5zef NVA
4bgx SIA-GAL
3f39 IPH
5ggl 6ZC
2zgm LAT
1ga8 DEL
3rxh HSM
1af6 GLC-FRU
1bra BEN
1d5r TLA
1y1m AC5
3eqb LUG
4ahv Z5P
1rdn MAG
1fd7 AI1
3khv 4AL
1mwt PNM
1tnl TPA
2ay2 CXP
4x8s 3Z7
1f2p PHE
4mrh 2CQ
1f2o LEU
1efi GAT
3ehn NLC
4bh3 3-mer
2rjr 295
5nn4 SC2
4mrf 2CK
6abk 9VF
1tnj PEA
2gga GPJ
5oxn 2-mer
1wdq MAL
6h7u FVT
6hzp TXC
3i3d IPT
1gbt GBS
1ing ST5
2bmv BEN
2hds 4MB
2r58 MLY
3c2f PRP
3g2y GF4
3pce 3HP
3rv3 ADP
4awj V6F
4ctk SVN
4kz5 1U3
4qsu TDR
4qsv THM
4u58 3C6
4y4g GGB
6evq C05
6ra1 JVQ
4ty8 3AV
5ekx 2CQ
5nzq 5AO
2ks9 11-mer
1jfh MA2-MA3
4e4a JKE
4ty9 3B0
4x8t 3Z8
5eiw X0V
