TARGET  ID	Name	SMILES	Task
L4001 0	LIG	O=C(Cn1ccnn1)Nc1ccc(Br)c([N+](=O)[O-])c1	P
L4001 1	LIG	O=C(Cn1ccnn1)Nc1ccc(Br)c([N+](=O)[O-])c1	P
L4002 0	LIG	O=C(Nc1cc(C2CCCC2)n[nH]1)c1ccc(F)cc1[N+](=O)[O-]	P
L4002 1	LIG	O=C(Nc1cc(C2CCCC2)n[nH]1)c1ccc(F)cc1[N+](=O)[O-]	P
L4003 0	LIG	c1cncc(-c2ncc3ccccc3n2)c1	P
L4003 1	LIG	c1cncc(-c2ncc3ccccc3n2)c1	P
L4004 0	LIG	[NH3+]Cc1ncn(Cc2nc3cc(Cl)ccc3n2Cc2ccccc2)n1	P
L4004 1	DMS	CS(C)=O	P
L4004 2	EDO	OCCO	P
L4004 3	DMS	CS(C)=O	P
L4004 4	LIG	[NH3+]Cc1ncn(Cc2nc3cc(Cl)ccc3n2Cc2ccccc2)n1	P
L4004 5	DMS	CS(C)=O	P
L4006 0	LIG	O=C([O-])c1cccc(-c2cccnc2)c1	P
L4007 0	LIG	O=C([O-])c1cncc(C#CCC2CCCCC2)c1	P
L4008 0	LIG	C[C@H](O)C(=O)Nc1cc(Cl)cc(Cl)c1	P
L4008 1	LIG	C[C@H](O)C(=O)Nc1cc(Cl)cc(Cl)c1	P
L4009 0	LIG	[O-]c1c[nH+]cc(Cl)c1	P
L4009 1	LIG	[O-]c1c[nH+]cc(Cl)c1	P
L4010 0	LIG	C[C@H](O)c1ccn[nH]1	P
L4010 1	LIG	C[C@@H](O)c1ccn[nH]1	P
L4011 0	LIG	CCCOc1ccc(NC(=O)[C@@H]2CC(=O)Nc3ccccc32)cc1OCCC	P
L4011 1	LIG	CCCOc1ccc(NC(=O)[C@@H]2CC(=O)Nc3ccccc32)cc1OCCC	P
L4011 2	2PE	OCCOCCOCCOCCO	P
L4013 0	LIG	CSc1nc2ncnc(-n3cnc(C=N)n3)c2s1	P
L4013 1	DMS	CS(C)=O	P
L4013 2	LIG	CSc1nc2ncnc(-n3cnc(C=N)n3)c2s1	P
L4013 3	DMS	CS(C)=O	P
L4014 0	LIG	Nc1cccc([N+](=O)[O-])c1C(=O)N[C@@H]1C[C@H]1c1ccc(Cl)c(F)c1	P
L4014 1	LIG	Nc1cccc([N+](=O)[O-])c1C(=O)N[C@@H]1C[C@H]1c1ccc(Cl)c(F)c1	P
L4015 0	LIG	O=C(Cc1cccnc1)N(Cc1cccs1)C1Cc2ccccc2C1	P
L4015 1	LIG	O=C(Cc1cccnc1)N(Cc1cccs1)C1Cc2ccccc2C1	P
L4016 0	LIG	c1ccc2c(-c3nc(N4CCC4)c4ccsc4n3)cncc2c1	P
L4017 0	LIG	CN(C(=O)Cn1nnc2ccccc21)[C@@H](C(N)=O)c1cccc(F)c1	P
L4017 1	LIG	CN(C(=O)Cn1nnc2ccccc21)[C@@H](C(N)=O)c1cccc(F)c1	P
L4018 0	LIG	O=C1C[C@@H](C(=O)NCCc2csc3ccccc23)c2ccc(F)cc2N1	P
L4018 1	LIG	O=C1C[C@@H](C(=O)NCCc2csc3ccccc23)c2ccc(F)cc2N1	P
L4019 0	LIG	N=Cc1cc(Oc2ccc(I)cc2)ncn1	P
L4019 1	DMS	CS(C)=O	P
L4019 2	LIG	N=Cc1cc(Oc2ccc(I)cc2)ncn1	P
L4019 3	DMS	CS(C)=O	P
L4020 0	LIG	O=C1C[C@@H](C(=O)Nc2cccc(C3CC3)c2)c2cccnc2N1	P
L4020 1	LIG		P
L4022 0	LIG	O=C(N[C@H]1CCSc2ccc(F)cc21)Nn1cnc2ccccc21	P
L4022 1	LIG	O=C(N[C@H]1CCSc2ccc(F)cc21)Nn1cnc2ccccc21	P
L4023 0	LIG	N=Cc1ncn(C[C@@H](O)COc2cc(Cl)ccc2Cl)n1	P
L4023 1	DMS	CS(C)=O	P
L4023 2	LIG	N=Cc1ncn(C[C@@H](O)COc2cc(Cl)ccc2Cl)n1	P
L4023 3	DMS	CS(C)=O	P
L4024 0	LIG	Cc1cc(CN(CCC2CCCCC2)C(=O)NC2CC2)no1	P
L4025 0	LIG	O=C(NCc1cccnc1)N1CCc2c(F)cccc21	P
L4025 1	LIG	O=C(NCc1cccnc1)N1CCc2c(F)cccc21	P
L4026 0	LIG	O=C(N(CCCOc1ccccc1)Cc1ccns1)N1CCc2c(F)cccc21	P
L4026 1	LIG	O=C(N(CCCOc1ccccc1)Cc1ccns1)N1CCc2c(F)cccc21	P
L4027 0	LIG	C[C@H](c1ccccc1)N1CC(=O)N(c2cncc(Br)c2)C1=O	P
L4027 1	LIG	C[C@H](c1ccccc1)N1CC(=O)N(c2cncc(Br)c2)C1=O	P
L4028 0	LIG	O=C1CN(Cc2ccc(F)c(F)c2)C(=O)N1c1cncc(Br)c1	P
L4028 1	LIG	O=C1CN(Cc2ccc(F)c(F)c2)C(=O)N1c1cncc(Br)c1	P
